Date,VN30F1M,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2023-05-19,1062.5,17.51,75.7,32.56,42.26,25.06,60.33,69.46,15.82,12.81,19.82,13.46,72.4,37.64,35.56,13.5,72.55,8.63,21.92,17.2,27.85,14.38,13.66,53.35,54.1,14.39,52.5,98.7,62.39,17.47,28.0
2023-05-22,1065.3,17.58,75.6,32.56,41.78,25.01,60.12,69.31,16.06,12.84,19.91,13.6,72.0,37.88,35.7,13.6,72.55,8.78,22.07,17.2,28.15,14.79,13.87,52.73,54.1,14.52,52.1,99.2,62.02,17.83,27.9
2023-05-23,1059.5,17.79,74.53,32.16,42.55,24.97,59.75,68.21,15.96,12.88,19.73,13.53,70.4,37.59,35.46,13.65,71.78,8.74,21.96,17.16,27.95,14.72,13.81,52.56,53.7,14.32,52.6,98.7,60.93,17.69,27.7
2023-05-24,1056.1,17.65,74.82,31.9,42.4,24.83,59.24,67.7,15.67,12.88,19.36,13.42,71.8,37.29,35.27,13.5,71.56,8.67,21.89,17.05,27.4,14.45,13.69,52.45,54.5,14.12,52.6,98.4,60.3,17.56,27.65
2023-05-25,1057.0,17.61,75.21,32.09,42.07,24.7,60.63,69.31,16.3,12.88,19.27,13.31,72.0,37.34,35.32,13.45,71.33,8.59,21.89,16.9,27.0,14.45,13.63,52.79,55.0,14.05,52.6,98.0,61.02,17.38,27.7
2023-05-26,1056.5,17.54,75.21,31.83,41.54,24.88,60.55,68.58,16.74,12.88,19.18,13.31,72.0,37.54,35.61,13.6,70.2,8.45,22.0,16.94,27.2,14.5,13.78,52.11,55.0,14.15,52.0,98.1,61.02,17.33,27.7
2023-05-29,1068.0,17.65,75.6,32.2,41.93,25.06,60.55,68.65,17.71,13.08,19.5,13.53,71.6,38.03,35.84,13.6,70.11,8.56,22.11,17.58,27.7,14.64,14.16,52.73,55.5,14.32,52.7,99.5,61.02,17.51,27.7
2023-05-30,1068.2,17.68,75.79,32.12,41.78,25.1,61.21,67.99,17.91,13.08,19.41,13.53,72.8,38.72,35.84,13.65,70.43,8.59,22.11,17.54,27.7,14.64,14.04,53.52,54.9,14.32,52.4,98.5,60.48,17.6,27.7
2023-05-31,1062.6,17.82,75.79,32.27,41.5,25.06,61.28,67.92,17.71,12.81,19.27,13.42,72.0,38.52,35.46,13.65,71.33,8.59,22.22,17.39,27.7,14.52,14.56,53.24,53.5,14.39,52.0,97.5,60.11,17.47,27.1
2023-06-01,1065.0,17.98,75.5,32.2,41.64,25.01,60.85,67.34,18.3,12.95,19.45,13.57,71.8,38.62,35.42,13.65,71.42,8.59,22.36,17.61,28.0,14.69,15.23,53.18,53.0,14.49,52.0,97.5,60.11,17.56,26.85
