Date,VN30F1M,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2023-03-16,1043.0,17.12,79.88,33.92,46.36,25.91,57.71,76.56,14.45,11.79,18.95,12.59,83.8,38.72,11.15,11.02,34.38,13.25,86.23,15.13,24.6,12.97,12.94,51.54,44.5,13.73,53.3,102.0,69.48,17.6,28.95
2023-03-17,1045.1,17.09,80.07,33.96,47.7,25.95,57.57,75.9,14.5,12.22,18.55,12.59,83.5,38.72,11.5,11.02,33.48,13.4,86.68,15.25,25.05,12.92,13.28,50.41,43.35,13.76,53.2,108.9,67.75,17.83,29.5
2023-03-20,1022.4,16.84,79.29,33.26,46.74,25.06,56.55,75.39,13.97,11.75,18.18,12.48,81.5,37.44,11.1,10.66,33.48,12.85,85.32,14.65,24.2,12.73,12.58,48.2,42.55,13.5,52.8,105.6,67.57,17.83,29.0
2023-03-21,1030.5,16.98,79.68,33.26,46.74,25.33,56.91,75.53,14.06,11.49,18.59,12.52,80.1,37.83,11.05,10.48,32.82,13.2,83.97,15.02,24.6,12.78,12.58,48.99,45.4,13.63,52.8,103.8,67.66,18.42,29.45
2023-03-22,1034.5,16.95,79.2,33.81,46.74,25.51,57.2,75.31,14.11,11.65,18.45,12.56,80.5,37.29,11.1,10.75,32.82,13.15,84.65,14.91,24.8,12.7,12.7,50.41,47.65,13.6,52.8,104.8,67.66,19.01,29.7
2023-03-23,1038.9,17.19,79.58,33.66,46.65,25.68,56.84,75.02,14.11,11.65,18.55,12.56,79.0,37.15,11.15,10.84,33.9,13.2,84.87,15.29,25.0,12.7,12.85,51.37,48.0,13.57,52.8,105.7,68.48,19.05,29.3
2023-03-24,1043.1,17.23,79.68,33.41,46.27,25.51,57.27,74.95,14.41,11.92,18.55,12.81,78.0,37.29,11.9,11.16,34.38,13.25,84.78,15.36,25.05,12.83,12.82,50.41,49.0,13.76,53.3,106.2,68.21,19.14,29.25
2023-03-27,1047.3,17.16,79.88,33.74,46.27,25.73,57.64,74.65,14.5,12.02,18.91,12.95,76.7,37.44,12.7,11.38,33.76,13.3,83.97,15.77,25.5,12.85,12.76,51.54,48.4,13.86,53.3,106.5,67.84,19.23,29.3
2023-03-28,1051.5,17.16,79.97,33.74,46.27,25.86,57.71,75.9,14.41,11.98,18.82,12.99,77.6,38.42,12.6,11.25,33.86,13.3,83.97,15.62,25.4,13.36,12.73,51.99,48.0,13.9,53.4,106.4,67.66,19.01,29.25
2023-03-29,1056.0,17.12,79.88,33.88,46.07,25.95,57.57,75.24,14.36,11.95,18.91,13.21,78.8,38.03,12.55,11.2,34.04,13.35,83.7,15.81,25.35,13.58,12.76,52.28,48.0,13.96,53.5,106.2,68.12,18.91,29.25
2023-03-30,1064.5,17.26,79.97,33.88,46.22,25.95,57.64,74.95,14.31,12.35,18.91,13.17,79.2,37.93,12.8,11.2,34.9,13.2,83.52,15.74,26.0,13.43,12.9,52.5,49.55,14.03,53.7,106.3,68.21,18.91,29.9
2023-03-31,1066.0,17.54,80.56,33.88,46.22,26.13,57.64,74.65,15.09,12.71,18.91,13.17,77.8,37.88,12.7,11.29,35.42,13.2,83.38,16.15,26.2,13.75,12.93,51.77,51.5,14.06,55.0,105.1,67.66,19.05,29.55
2023-04-03,1083.0,17.72,81.14,33.66,46.74,26.8,58.95,75.02,15.52,12.78,19.09,13.49,76.8,38.32,12.85,11.97,35.46,13.2,81.71,16.52,26.75,14.21,13.25,52.56,52.6,14.26,58.0,102.6,67.66,19.19,29.6
2023-04-04,1080.2,17.65,79.68,33.74,46.93,26.53,58.66,74.58,15.52,12.64,19.18,13.53,78.4,39.11,12.75,11.88,35.89,13.5,80.36,16.9,26.9,14.3,13.17,52.11,51.0,14.52,56.8,102.0,67.48,19.37,29.45
2023-04-05,1084.1,17.75,78.9,33.37,46.79,26.85,58.73,74.58,15.77,13.01,19.55,13.57,78.4,39.06,12.85,12.11,35.98,13.45,79.68,16.9,26.25,14.3,13.22,52.16,52.2,14.42,55.5,102.9,67.75,19.19,29.45
2023-04-06,1073.0,17.47,78.22,33.74,46.27,26.44,58.51,74.29,15.18,12.97,19.55,13.35,77.0,38.42,13.25,12.2,35.32,13.15,79.86,16.41,25.65,14.35,13.46,51.65,51.2,14.12,54.5,102.2,67.57,18.91,29.5
2023-04-07,1075.1,17.58,77.93,33.48,46.27,26.4,58.66,74.07,15.48,12.84,19.27,13.42,77.6,38.32,13.4,12.2,35.65,13.05,79.91,16.9,26.0,14.33,13.46,50.97,50.7,14.05,54.4,103.0,67.93,18.91,29.2
2023-04-10,1072.8,17.54,77.74,32.78,46.65,26.27,58.51,72.82,15.48,13.01,18.82,13.42,77.2,40.29,13.3,11.93,35.27,13.35,79.73,16.82,25.95,14.64,13.46,50.41,49.8,14.05,53.8,102.3,67.66,18.91,29.1
2023-04-11,1076.0,17.51,77.93,32.56,46.89,26.49,58.51,73.12,15.82,12.91,18.91,13.53,77.9,40.0,14.2,12.2,34.94,13.4,79.0,16.98,25.95,14.74,13.46,49.95,51.5,14.19,53.6,102.3,67.66,19.01,29.05
2023-04-12,1075.0,17.44,77.74,32.56,46.27,26.4,58.51,73.04,15.91,12.97,18.86,13.49,79.5,40.04,15.05,12.78,34.99,13.65,77.2,16.52,26.1,14.89,13.46,50.01,51.6,14.32,53.1,99.7,67.57,18.69,28.7
2023-04-13,1070.0,17.51,77.54,32.97,46.17,26.31,58.0,73.19,15.52,13.01,18.59,13.39,79.2,40.34,14.5,12.65,35.18,13.45,76.52,16.34,26.45,14.64,13.52,49.95,50.5,14.22,53.0,99.3,66.84,18.64,28.4
2023-04-14,1063.1,17.51,77.06,32.6,45.79,26.04,58.0,71.8,14.89,12.88,18.77,13.21,78.1,39.31,14.2,12.11,34.52,13.1,75.39,15.92,25.7,14.01,13.52,50.07,50.0,13.98,52.9,98.5,66.21,18.55,28.6
