Date,VN30F1M,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2022-06-29,1260.5,16.98,25.59,49.21,24.03,64.83,83.36,21.71,12.89,20.68,29.53,14.85,113.17,71.74,75.1,47.34,37.19,13.75,68.17,14.83,22.6,17.82,14.38,42.76,63.3,14.08,73.4,132.3,62.43,18.1,28.45
2022-06-30,1240.1,16.84,24.57,46.97,23.4,62.09,82.29,21.38,12.68,20.27,29.23,14.55,111.18,70.26,74.5,46.8,36.56,13.6,68.44,14.12,21.5,17.24,14.25,42.37,62.1,13.52,73.5,130.0,62.35,17.5,28.55
2022-07-01,1242.0,16.88,25.7,47.51,24.12,63.39,80.51,21.42,12.94,20.36,29.19,14.55,108.7,69.08,74.4,47.34,36.83,13.6,68.13,14.8,22.0,17.46,14.33,41.91,61.4,14.3,72.6,130.1,63.64,17.56,28.65
2022-07-04,1242.0,17.02,25.7,48.04,23.8,62.45,79.48,21.23,12.97,20.0,29.59,14.79,107.7,66.63,74.0,46.62,36.6,13.5,67.95,15.17,22.35,17.63,14.33,41.97,61.0,15.28,72.7,129.6,64.85,17.62,28.5
2022-07-05,1234.9,17.16,26.62,47.24,24.16,61.51,75.39,20.48,13.07,19.91,29.09,15.3,102.0,64.37,73.5,46.98,36.42,13.0,66.76,14.8,23.05,18.31,14.44,41.91,60.5,15.15,72.3,125.9,63.12,17.8,27.95
2022-07-06,1218.0,16.98,26.11,47.42,23.13,60.15,70.12,19.77,12.6,19.5,28.97,14.97,100.0,62.89,73.4,46.98,34.65,12.8,67.55,14.27,22.5,18.23,14.15,41.23,59.1,15.15,67.5,127.1,63.17,17.38,26.0
2022-07-07,1225.0,16.95,26.62,49.21,23.54,59.86,68.87,19.67,12.68,19.77,29.42,15.09,103.0,62.89,74.0,47.25,35.38,12.8,69.15,14.35,22.6,18.33,14.41,42.76,61.0,15.78,69.8,129.3,65.22,17.44,27.0
2022-07-08,1225.0,16.84,25.67,48.85,23.18,60.22,69.97,20.1,12.52,20.41,29.79,15.06,104.9,63.87,73.8,47.7,35.7,13.0,68.66,15.32,22.5,18.21,14.23,41.91,61.0,15.75,70.0,127.8,65.22,17.26,27.0
2022-07-11,1200.7,16.49,25.3,48.85,22.82,59.64,69.46,19.86,12.1,20.05,28.93,14.67,102.5,63.38,73.4,47.25,35.83,12.5,68.66,15.51,22.05,17.26,13.65,40.78,60.5,15.03,70.0,127.4,65.22,16.59,26.0
2022-07-12,1213.5,16.84,26.7,50.01,23.0,60.15,72.46,21.23,12.41,20.27,29.42,15.06,102.0,63.28,73.4,47.52,36.65,12.95,68.0,15.7,22.6,17.51,14.02,40.72,60.2,15.28,69.9,125.5,65.49,16.74,26.2
2022-07-13,1210.0,16.84,26.44,51.89,23.76,59.43,70.48,21.38,12.52,20.27,29.21,15.21,101.0,62.5,73.6,47.43,36.24,13.0,68.0,15.55,23.05,17.51,13.99,40.67,60.1,15.28,69.5,124.8,64.78,16.74,26.25
2022-07-14,1215.7,16.88,26.51,51.8,24.16,59.64,72.31,21.99,12.52,20.18,30.41,15.33,102.5,61.52,73.7,47.7,36.38,13.1,68.57,16.15,23.3,17.43,14.12,41.01,60.1,15.37,69.5,126.7,64.69,16.92,26.05
2022-07-15,1210.1,16.84,26.26,50.55,24.16,59.21,71.36,21.95,12.47,21.09,30.04,15.3,101.2,60.43,73.6,47.7,36.1,13.0,68.17,15.85,23.0,17.51,14.23,40.95,60.0,15.25,69.6,124.7,63.97,17.04,26.2
2022-07-18,1215.4,16.77,26.04,51.26,24.07,59.79,71.36,21.99,12.41,20.55,29.92,15.27,102.6,59.94,73.6,47.97,36.51,13.1,68.26,15.7,22.55,17.6,14.31,40.78,59.0,15.47,68.0,124.2,64.06,16.98,26.05
2022-07-19,1213.0,16.77,26.15,51.08,23.76,59.79,74.58,21.99,12.36,20.14,29.75,15.15,102.0,58.96,73.6,47.97,38.19,13.45,69.41,15.51,22.95,17.51,14.25,40.38,58.8,15.28,68.8,124.5,65.04,16.89,26.0
2022-07-20,1226.1,17.05,26.7,51.44,24.21,61.15,75.39,22.56,12.6,20.32,30.33,15.36,103.0,60.14,73.9,47.97,38.87,13.5,70.74,16.0,23.05,17.6,14.94,41.06,59.7,15.62,68.2,125.5,65.22,16.98,26.05
2022-07-21,1234.1,17.3,26.77,50.73,24.61,61.23,76.19,22.47,12.7,20.64,30.54,15.39,105.5,62.99,74.2,47.79,38.42,13.35,73.04,16.0,23.1,17.87,14.86,41.06,58.9,15.78,68.5,126.0,65.4,17.01,26.3
2022-07-22,1225.6,17.09,26.04,50.37,24.07,61.3,78.9,22.28,12.57,20.18,30.17,15.36,108.5,63.38,73.9,47.16,37.92,13.15,73.49,15.7,23.0,17.99,14.73,41.06,58.7,16.47,66.5,125.6,64.33,16.98,26.0
2022-07-25,1221.9,16.88,25.96,49.56,23.8,61.51,76.63,21.61,12.47,19.91,30.0,15.18,108.6,62.2,73.7,47.34,37.28,13.15,73.04,15.36,22.85,17.84,14.38,41.29,58.9,16.19,67.3,125.8,65.13,16.68,26.3
2022-07-26,1218.9,16.88,26.07,48.67,23.76,61.08,76.63,21.57,12.47,19.68,30.62,15.12,110.0,61.91,73.9,47.25,37.06,13.0,74.24,15.21,22.95,17.75,14.17,41.86,58.7,16.13,66.1,125.1,64.33,16.71,26.05
2022-07-27,1223.0,16.98,26.07,51.17,24.16,61.37,76.63,21.9,12.63,19.32,30.83,14.97,109.9,61.02,73.7,47.43,37.47,13.1,74.24,15.32,23.05,17.75,14.15,42.48,58.6,16.13,66.5,125.3,64.51,16.71,26.3
2022-07-28,1231.6,17.16,26.77,50.64,24.7,61.15,77.8,22.7,12.89,19.45,31.4,15.36,109.9,60.93,74.0,48.06,37.65,13.55,76.59,15.89,24.45,18.09,14.28,42.65,58.8,16.63,67.0,127.4,64.87,17.14,28.1
2022-07-29,1230.7,17.26,27.36,51.71,24.34,60.15,78.68,22.66,12.76,19.55,30.99,15.42,106.1,59.94,74.5,47.52,37.28,13.35,79.68,16.04,24.7,18.38,13.96,42.31,59.9,16.72,64.0,125.7,65.04,17.32,28.0
2022-08-01,1244.4,17.54,28.6,52.96,25.68,60.51,78.97,23.42,13.05,20.73,31.82,15.94,109.4,60.24,74.7,48.43,37.92,13.5,81.01,17.13,25.2,18.72,14.31,43.61,60.0,16.75,64.7,127.1,65.67,17.56,29.0
2022-08-02,1245.9,17.47,28.24,52.69,25.59,61.23,79.19,23.51,13.13,20.82,32.15,16.06,110.0,60.93,75.7,48.61,37.19,13.75,83.14,17.43,24.95,18.57,14.52,44.69,62.5,16.72,66.6,127.5,65.58,17.53,29.0
2022-08-03,1250.0,17.51,28.82,52.25,26.04,61.08,81.97,23.42,13.13,21.59,32.19,16.18,110.0,60.73,76.2,48.61,37.1,13.7,84.07,17.69,25.45,18.5,14.7,45.03,61.9,16.47,66.0,127.0,65.58,17.5,29.05
2022-08-04,1257.5,17.54,28.82,52.25,25.82,62.02,79.78,23.32,13.15,21.5,32.23,16.21,107.9,61.61,78.5,48.79,38.19,13.6,81.9,17.69,25.2,18.62,15.12,46.73,63.0,16.41,66.4,129.2,65.49,17.74,29.0
2022-08-05,1264.5,17.44,28.6,52.61,25.95,61.8,80.14,23.46,13.05,21.18,31.98,16.21,104.5,61.61,80.9,48.79,37.78,14.0,80.84,18.63,25.25,18.62,15.12,46.44,61.8,16.31,65.4,126.5,64.87,17.71,28.95
